age,college,waorkingyear,parentcollege,salary
38.3,1,8,1,1835
29.9,1,8,0,2776
31.7,0,3,0,1608
29.0,1,7,0,2841
28.7,1,9,0,2649
27.2,0,5,1,1807
35.3,0,3,0,1538
34.2,0,10,0,1547
26.5,0,8,0,2191
33.9,1,4,0,1732
35.7,0,2,0,2418
40.6,1,1,0,1887
36.8,1,3,0,1804
33.4,1,3,1,2253
31.1,1,4,1,2388
36.4,1,4,0,2413
38.8,1,5,1,2104
37.2,1,11,0,2082
33.7,1,6,0,3425
35.1,1,0,1,1617
27.7,1,7,0,1820
35.3,0,11,1,2300
38.6,1,7,1,1273
32.7,1,9,1,1543
33.5,0,8,1,1739
37.8,0,7,1,2094
33.0,1,9,0,1807
39.5,1,8,1,2519
34.4,1,3,0,1862
37.2,1,9,1,1887
31.5,1,6,1,2814
35.1,1,5,0,2516
39.7,0,3,1,1911
27.7,1,5,0,1532
38.7,0,4,0,1136
24.6,1,3,0,2282
32.5,0,8,0,2855
35.5,1,12,1,2443
30.7,1,8,1,1861
34.2,1,7,1,2080
38.1,0,3,1,1597
34.2,1,3,0,1839
25.1,0,3,1,2463
36.2,1,6,0,2058
37.1,0,8,0,2157
33.5,0,0,0,1402
32.9,0,6,0,2232
33.2,1,8,1,1942
26.5,1,4,0,2060
31.4,1,6,1,2260
39.8,0,10,1,2055
37.2,1,10,1,2083
35.8,0,2,0,2531
31.3,1,1,0,2314
31.7,1,6,0,2995
35.4,1,3,0,1715
33.4,1,9,0,1978
33.1,1,8,1,2072
30.8,1,5,0,1593
35.0,1,8,0,2375
30.2,1,9,0,1549
32.1,1,12,1,2390
36.4,1,6,0,1604
25.5,0,2,1,2652
34.7,1,7,1,2526
28.7,0,6,0,1063
22.7,1,5,0,1583
28.1,1,5,1,2197
28.4,0,1,0,2864
36.7,1,8,0,1301
36.9,0,4,1,1991
41.9,1,7,0,3225
31.3,1,2,1,2252
31.7,1,6,0,2151
32.4,1,9,1,1866
39.2,0,6,0,2041
35.7,0,11,0,1850
33.1,0,4,0,1655
29.6,1,7,0,2353
40.9,0,2,0,1985
26.5,1,15,1,2643
32.1,1,6,1,1777
32.3,0,3,0,1709
35.6,1,7,1,1421
27.8,0,3,0,1621
38.4,1,7,0,2211
32.5,1,6,0,2228
29.1,0,0,0,2576
30.2,0,4,0,2365
32.8,1,5,0,1909
30.7,1,5,0,2153
36.5,1,14,0,1310
29.1,0,5,0,1587
34.7,1,10,0,1060
40.9,1,7,1,3053
34.2,0,0,1,2147
37.0,1,9,1,2265
36.5,0,6,0,2574
25.5,1,5,0,722
37.9,1,8,1,3460
32.5,1,5,0,1283
36.4,0,5,1,2959
37.4,0,3,0,2377
34.9,1,4,1,1169
33.8,0,8,1,2805
27.9,1,5,0,2114
36.2,0,9,1,1517
33.4,1,8,1,2372
34.9,1,9,1,1803
37.0,1,7,0,2371
28.5,0,3,1,2575
37.0,0,7,1,1219
38.6,1,6,0,2476
31.5,1,4,0,2335
26.0,1,4,1,2709
41.4,0,2,1,2302
35.7,1,5,1,2391
35.0,1,5,0,3213
33.0,1,5,0,2453
30.5,0,9,1,1564
30.4,1,10,1,2301
33.5,1,6,0,1978
33.3,0,4,0,1592
31.6,1,8,0,1718
29.4,1,5,0,1938
33.6,1,6,0,1999
28.4,0,8,0,1841
26.4,1,7,0,1726
27.2,1,3,0,2704
26.3,0,3,1,2708
35.3,0,4,0,1990
29.8,1,9,0,2152
35.9,0,7,0,2375
34.4,1,7,1,1660
39.8,1,5,0,3185
35.8,1,7,0,803
36.0,1,10,0,2561
30.6,0,9,0,2088
25.7,1,9,1,1806
35.4,0,0,1,2000
37.5,1,8,0,1619
31.2,1,5,0,1860
30.8,1,7,1,2017
31.3,1,4,1,2075
30.1,1,3,0,2142
37.6,0,5,1,2727
32.3,1,5,1,1256
35.9,0,3,0,2406
34.2,0,4,1,2645
29.4,0,3,0,2199
40.5,1,10,1,1556
32.1,1,9,0,2144
29.8,0,3,1,1655
38.6,1,2,0,2486
35.6,0,5,0,1944
31.5,1,7,0,2525
28.9,1,10,1,1852
27.0,0,2,1,2657
29.0,0,2,1,1626
34.6,1,8,1,1663
29.3,1,3,0,2418
37.0,0,6,0,2609
31.2,1,6,0,1907
36.3,1,8,0,1458
29.6,1,6,0,617
33.5,1,11,1,1773
33.3,1,9,0,1769
32.4,0,7,1,2157
32.9,1,11,1,1580
31.0,0,4,1,1977
32.3,1,9,1,1911
40.4,1,5,0,1499
33.9,1,8,1,2129
38.6,1,9,0,2480
38.7,0,-1,0,1389
35.3,0,5,1,2543
37.9,1,9,1,2247
34.9,1,7,0,2037
33.1,0,0,0,3407
32.0,1,7,0,2733
30.3,0,10,0,2364
29.6,0,9,0,2449
40.7,0,12,1,2968
33.0,0,5,0,2438
33.2,1,6,1,1833
36.8,0,6,0,1458
21.5,1,12,1,2071
34.4,1,7,0,2301
34.1,1,4,0,2647
33.4,0,8,1,1635
30.7,1,10,0,2692
31.4,1,7,0,2720
37.4,1,8,0,1903
38.7,1,7,0,2263
35.8,0,3,0,1309
33.7,1,7,1,2811
33.4,0,2,0,2260
32.1,1,9,1,1775
28.5,1,9,0,1157
34.2,1,1,1,2290
29.8,1,5,0,1703
25.9,1,9,0,1953
32.4,0,7,0,2859
31.1,0,3,0,2407
31.7,1,7,0,1381
31.8,0,7,1,2419
27.8,0,6,1,1817
30.6,1,11,1,2854
30.4,1,5,0,2922
26.3,1,12,0,1563
34.3,0,6,1,1544
36.2,1,6,0,2189
32.0,1,7,0,2547
32.0,0,5,0,1770
32.5,1,10,0,1682
33.7,1,7,1,2622
28.2,1,5,0,2567
32.5,1,7,0,1909
30.9,1,3,1,1983
28.5,1,4,0,1892
32.0,1,4,0,1987
29.0,1,4,1,1847
31.2,0,7,0,530
35.9,0,6,0,2289
39.6,1,9,0,1348
30.8,1,9,1,2230
27.8,0,0,1,1270
37.5,0,9,1,2451
28.6,0,-1,0,2059
34.1,1,7,0,1848
33.1,0,2,0,1510
33.6,0,1,0,1967
31.7,1,4,0,2586
27.6,1,11,0,1044
35.7,0,3,0,818
32.0,1,8,0,1750
28.9,0,5,0,1692
33.5,1,5,0,2508
29.8,0,5,0,2645
41.9,1,7,0,1311
35.1,0,9,1,2113
29.2,1,3,0,1522
32.3,1,5,1,2362
30.2,1,5,0,2126
29.2,1,8,0,2274
29.3,1,12,1,2119
31.6,1,12,1,1902
34.0,1,3,0,2217
32.7,0,4,1,3261
31.4,1,5,0,2662
34.3,1,3,1,2336
36.9,0,7,0,2068
30.8,1,9,0,1986
38.3,0,2,0,1762
38.8,1,7,1,2554
29.1,0,4,1,1994
33.4,0,6,0,2698
32.1,1,3,0,2017
35.0,0,4,0,1336
39.2,1,10,1,2281
36.7,0,3,0,2323
29.9,1,3,1,1879
35.3,1,3,0,3068
33.6,1,5,1,1773
40.5,0,6,1,1709
