age,college,waorkingyear,salary
38.3,0,0,858
29.9,1,12,2175
31.7,1,4,1771
29.0,0,4,1509
28.7,0,5,1691
27.2,1,6,2916
35.3,1,3,1800
34.2,1,7,2342
26.5,1,4,2264
33.9,0,0,1826
35.7,1,13,2330
40.6,0,3,2026
36.8,0,3,2845
33.4,0,8,1426
31.1,0,3,1742
36.4,0,6,1774
38.8,0,6,2331
37.2,0,1,2909
33.7,0,8,2935
35.1,1,8,1493
27.7,0,10,1952
35.3,1,9,1952
38.6,0,3,1402
32.7,0,10,2490
33.5,1,6,2523
37.8,1,13,1800
33.0,0,6,2146
39.5,1,6,2029
34.4,0,5,2291
37.2,0,10,1488
31.5,0,3,1921
35.1,0,5,2673
39.7,1,7,1924
27.7,0,4,1522
38.7,1,8,1548
24.6,0,8,1750
32.5,1,5,2450
35.5,0,2,1967
30.7,0,0,1298
34.2,0,1,2494
38.1,1,5,1743
34.2,0,1,1783
25.1,1,11,2461
36.2,1,8,2632
37.1,1,10,2190
33.5,1,6,1368
32.9,1,6,1938
33.2,0,7,2062
26.5,1,8,2807
31.4,0,2,1707
39.8,1,6,1771
37.2,0,1,2270
35.8,1,4,1880
31.3,0,6,1607
31.7,0,0,1480
35.4,0,8,2356
33.4,1,1,2640
33.1,0,10,1590
30.8,0,6,1791
35.0,1,3,2408
30.2,0,3,1900
32.1,0,0,2255
36.4,0,4,2242
25.5,1,7,1193
34.7,0,1,1474
28.7,1,5,1736
22.7,0,4,2691
28.1,0,4,1897
28.4,1,8,1065
36.7,1,9,3064
36.9,1,4,2958
41.9,0,7,2013
31.3,0,10,2361
31.7,0,3,2161
32.4,0,9,2444
39.2,1,4,2010
35.7,1,6,2779
33.1,1,7,2065
29.6,1,8,2786
40.9,1,9,2263
26.5,0,4,1604
32.1,0,1,2474
32.3,1,3,2082
35.6,0,6,1470
27.8,1,4,1098
38.4,0,5,2843
32.5,0,0,1459
29.1,1,6,2380
30.2,1,6,1664
32.8,0,4,2540
30.7,0,6,2689
36.5,0,2,2362
29.1,1,6,2655
34.7,0,0,2399
40.9,0,3,2292
34.2,1,5,2293
37.0,0,7,2418
36.5,1,9,1964
25.5,0,4,2062
37.9,0,4,1615
32.5,0,7,1875
36.4,1,9,1333
37.4,1,11,2478
34.9,0,3,2293
33.8,1,5,1660
27.9,1,13,3094
36.2,1,5,2040
33.4,1,8,1936
34.9,0,4,1402
37.0,0,4,2144
28.5,1,7,2313
37.0,1,8,2597
38.6,1,6,1479
31.5,0,2,1594
26.0,0,4,2460
41.4,1,3,2793
35.7,0,9,1242
35.0,0,6,1597
33.0,0,6,1934
30.5,1,10,2341
30.4,0,4,1445
33.5,0,6,1448
33.3,1,4,895
31.6,0,4,1410
29.4,1,6,1454
33.6,0,4,2497
28.4,1,7,2295
26.4,1,10,2378
27.2,0,5,1723
26.3,1,3,1760
35.3,1,2,2538
29.8,0,3,1988
35.9,1,0,2709
34.4,0,0,2121
39.8,1,9,1653
35.8,0,2,1742
36.0,0,8,2134
30.6,1,5,1730
25.7,0,6,2141
35.4,1,0,1363
37.5,0,8,2552
31.2,0,2,2148
30.8,0,7,2341
31.3,1,8,1977
30.1,0,5,1497
37.6,1,6,1949
32.3,0,2,542
35.9,1,6,2319
34.2,1,2,1353
29.4,1,9,2289
40.5,1,8,1776
32.1,0,3,1923
29.8,1,6,1363
38.6,0,0,2060
35.6,1,6,2659
31.5,0,4,2445
28.9,0,0,1837
27.0,1,6,1717
29.0,1,0,2591
34.6,0,3,2273
29.3,0,5,1543
37.0,1,3,1502
31.2,0,11,1943
36.3,0,-3,2459
29.6,1,6,3242
33.5,0,6,1784
33.3,0,3,1691
32.4,1,11,1928
32.9,0,3,2023
31.0,1,8,2524
32.3,0,3,2243
40.4,0,7,1073
33.9,0,3,2080
38.6,0,4,1861
38.7,1,8,1810
35.3,1,10,1757
37.9,0,6,2657
34.9,0,3,2104
33.1,1,5,2799
32.0,0,5,2670
30.3,1,9,1912
29.6,1,10,2334
40.7,1,8,2872
33.0,1,10,1595
33.2,0,3,1362
36.8,1,4,2804
21.5,1,7,1305
34.4,0,0,3043
34.1,1,6,2101
33.4,1,9,2313
30.7,0,6,1582
31.4,0,1,2007
37.4,0,6,1954
38.7,0,2,1704
35.8,1,6,1345
33.7,0,8,1944
33.4,1,8,2423
32.1,1,3,1557
28.5,0,9,1942
34.2,0,3,1577
29.8,0,0,933
25.9,0,3,1752
32.4,1,2,2243
31.1,1,8,2228
31.7,0,7,3238
31.8,1,12,2380
27.8,1,8,2847
30.6,0,0,2760
30.4,1,5,1404
26.3,0,6,2301
34.3,1,10,2099
36.2,0,-2,1907
32.0,0,3,1265
32.0,1,7,2778
32.5,0,5,2676
33.7,0,9,1969
28.2,1,10,1528
32.5,0,3,2602
30.9,0,4,2266
28.5,0,4,2224
32.0,0,1,1481
29.0,0,0,2507
31.2,1,8,2756
35.9,1,11,2025
39.6,0,6,2525
30.8,0,3,1894
27.8,1,7,1694
37.5,1,9,1753
28.6,1,4,1838
34.1,1,4,2765
33.1,1,6,2337
33.6,1,1,2011
31.7,1,5,2028
27.6,0,2,1550
35.7,1,9,1973
32.0,0,3,2014
28.9,1,5,2199
33.5,0,1,2033
29.8,1,7,2021
41.9,0,2,1741
35.1,1,4,1996
29.2,0,3,2430
32.3,0,9,1939
30.2,0,2,1687
29.2,0,5,1524
29.3,0,4,2152
31.6,0,-1,2302
34.0,0,4,1964
32.7,1,9,2145
31.4,0,5,2972
34.3,0,3,2504
36.9,1,11,2329
30.8,0,4,2475
38.3,1,7,2480
38.8,0,6,1286
29.1,1,4,2235
33.4,1,0,2121
32.1,0,7,1755
35.0,1,5,2620
39.2,0,4,1259
36.7,1,6,3644
29.9,0,12,1939
35.3,0,4,1957
33.6,0,5,1365
40.5,1,8,2489
33.5,0,3,1249
31.7,1,6,1428
33.7,1,3,2080
32.9,0,5,2204
28.4,0,2,734
30.8,1,8,2853
29.9,1,9,2265
28.8,1,6,2104
28.4,0,3,2308
33.7,1,4,2441
33.4,1,3,2364
38.4,0,6,2265
29.3,1,12,1529
30.6,1,6,2098
31.0,1,10,2564
39.6,1,9,2077
32.1,0,3,2620
38.5,1,6,1678
21.8,1,11,1862
29.4,0,1,1965
41.9,0,1,2385
30.7,0,4,1858
36.7,1,5,2127
29.6,0,0,2663
27.5,1,4,2379
34.9,1,4,1946
33.8,1,0,2327
33.5,1,8,2028
41.8,1,4,2460
